Penalty,No of literals,Subset,Size,Counts,IDR,Score,P value
0.5,8,partnership status c qc[1.0 OR 2.0] AND age[42.0 - 60.0] AND subcutaneous fat qc[1.28 - 10.41] AND cimt mean max[0.71 - 1.7] AND bmi c qc[21.35 - 68.02] AND triglycerides qc[0.46 - 5.34] AND waist hip r c qc[0.84 - 1.16],321,398,0.219,32.546,4.6794509365366095e-150
1.0,4,age[42.0 - 60.0] AND waist hip r c qc[0.9 - 1.16] AND subcutaneous fat qc[0.99 - 10.41] AND cimt mean max[0.71 - 1.7],270,339,0.184,28.72,1.0426610616291128e-164
1.5,4,age[42.0 - 60.0] AND waist hip r c qc[0.9 - 1.16] AND bmi c qc[21.35 - 68.02] AND cimt mean max[0.71 - 1.7],276,344,0.188,26.255,2.638902218471832e-162
2.0,3,age[44.0 - 60.0] AND triglycerides qc[0.46 - 5.34] AND waist circumference qc[950.0 - 1470.0],445,500,0.304,23.291,1.8172618960168888e-109
2.5,2,cimt mean max[0.74 - 1.7] AND waist hip r c qc[0.9 - 1.16],227,289,0.155,24.427,1.6795797446707973e-176
3.0,2,cimt mean max[0.74 - 1.7] AND waist hip r c qc[0.9 - 1.16],227,289,0.155,23.427,1.6795797446707973e-176
3.5,2,waist circumference qc[950.0 - 1470.0] AND age[47.0 - 60.0],420,470,0.287,19.956,3.9861410555331564e-115
4.0,2,cimt mean max[0.74 - 1.7] AND waist hip r c qc[0.9 - 1.16],227,289,0.155,21.427,1.6795797446707973e-176
4.5,2,waist circumference qc[950.0 - 1470.0] AND age[47.0 - 60.0],420,470,0.287,17.956,3.9861410555331564e-115
5.0,2,waist circumference qc[950.0 - 1470.0] AND age[47.0 - 60.0],420,470,0.287,16.956,3.9861410555331564e-115
